genome,Kingdom,Phylum,Class,Order,Family,Genus,Species
GCA_004557825.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,UBA7173 sp004557825
GCA_900768135.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,ER4,ER4 sp900768135
GCF_014131735.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum
GCA_900555665.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-170,CAG-170 sp900555665
GCA_000434055.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp000434055
GCA_000436075.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Anaerotardibacter,Anaerotardibacter sp000436075
GCA_900757655.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-103,CAG-103 sp900757655
GCA_000435495.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,Pumilibacteraceae,CAG-552,CAG-552 sp000435495
GCA_000434555.1,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-1000,CAG-1000 sp000434555
GCA_934589835.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp934589835
GCA_900547315.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp900547315
GCA_900764045.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Bianqueaceae,Faecimorpha,Faecimorpha sp900764045
GCA_934101445.1,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-605,CAG-605 sp934101445
GCA_934526125.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium sp934526125
GCA_900540885.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Alloprevotella,Alloprevotella sp900540885
GCA_934589065.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp934589065
GCF_009695545.1,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,Victivallaceae,Victivallis,Victivallis lenta
GCA_900544705.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp900544705
GCA_900553955.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,UMGS1668,UMGS1668 sp900553955
GCF_018917965.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoflavonifractor_A,Pseudoflavonifractor_A sp018917965
GCA_004557245.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-138,SFEL01,SFEL01 sp004557245
GCA_934757945.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp934757945
GCF_019052655.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella porci_A
GCF_021531255.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,JAFBIO01,JAFBIO01 sp021531255
GCA_900545265.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-138,RUG472,RUG472 sp900545265
GCA_934615235.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,Aphodomonas,Aphodomonas sp934615235
GCA_900546565.1,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,CAG-312,Merdousia,Merdousia sp900546565
GCA_934646175.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAKUEI01,CAKUEI01 sp934646175
GCA_900551995.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp900551995
GCA_900553805.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp900553805
GCA_900547165.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,UBA644,UBA644,UBA644 sp900547165
GCA_900556965.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Copromonas,Copromonas sp900556965
GCA_900548765.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,Agathobacter sp900548765
GCA_000285855.2,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A sp000285855
GCA_019424245.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira sp019424245
GCA_900762815.1,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Avelusimicrobium,Avelusimicrobium sp900762815
GCF_014385005.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia shaoxingensis
GCA_900753305.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,COE1 sp900753305
GCA_019421315.1,Bacteria,Bacillota_B,Dehalobacteriia,UBA4068,UBA5755,JAHZFN01,JAHZFN01 sp019421315
GCA_003534295.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,CAG-273 sp003534295
GCA_900555105.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,UMGS124,UMGS124,UMGS124 sp900555105
GCA_004552515.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,Firm-10,Firm-10 sp004552515
GCA_900756155.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Pasteurellaceae,Haemophilus_D,Haemophilus_D sp900756155
GCA_934511165.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA738,UBA738 sp934511165
GCA_900552545.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,Duodenibacillus,Duodenibacillus sp900552545
GCA_900550935.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia sp900550935
GCA_900546265.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UMGS856,UMGS856 sp900546265
GCA_900544685.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Marvinbryantia,Marvinbryantia sp900544685
GCF_014287435.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Pararoseburia,Pararoseburia lenta
GCA_900548465.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_G,Eubacterium_G sp900548465
GCA_004556395.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,SFHK01,SFHK01 sp004556395
GCA_002438605.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,Ruminococcus sp002438605
GCA_000433515.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-272,CAG-272,CAG-272 sp000433515
GCF_003482105.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus sp000433075
GCA_900313295.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp900313295
GCA_900541355.1,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,UBA1436,UBA1436 sp900541355
GCF_000154465.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis
GCA_900554405.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-382,UBA1752,UBA1752 sp900554405
GCA_900543825.1,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-302,CAG-302 sp900543825
GCA_003516865.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-115,CAG-115 sp003516865
GCA_934402515.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,UMGS2037,UMGS2037 sp934402515
GCA_900551295.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-382,UMGS1387,UMGS1387 sp900551295
GCF_003458715.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella sp003458715
GCA_000431815.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Butyrivibrio_A,Butyrivibrio_A sp000431815
GCA_004557805.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,Aphodomonas,Aphodomonas sp004557805
GCA_934667625.1,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,UBA1436,UBA1436 sp934667625
GCA_900770195.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_C,Ruminococcus_C sp900770195
GCF_000325665.1,Bacteria,Spirochaetota,Brachyspirae,Brachyspirales,Brachyspiraceae,Brachyspira,Brachyspira pilosicoli
GCA_023403475.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,CAJFUR01,CAJFUR01 sp023403475
GCA_900755865.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,Acetatifactor sp900755865
GCA_934203105.1,Bacteria,Pseudomonadota,Alphaproteobacteria,RF32,UBA3637,CAAHEQ01,CAAHEQ01 sp934203105
GCA_934647305.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,CAKUFI01,CAKUFI01 sp934647305
GCF_013267835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria sp000186165
GCA_900766735.1,Bacteria,Bacillota_A,Clostridia,UMGS1883,HGM11501,HGM11501,HGM11501 sp900766735
GCA_900101355.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcus_E,Ruminococcus_E bromii_A
GCA_934467435.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-272,UBA1740,UBA1740 sp934467435
GCA_934162425.1,Bacteria,Bacillota,Bacilli,RF39,UBA660,Aphodocola,Aphodocola sp934162425
GCA_934120045.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp934120045
GCF_900475675.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lutetiensis
GCA_934191715.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp934191715
GCF_902501965.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp900556495
GCF_000800455.1,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium kashiwanohense_A
GCA_022728415.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp022728415
GCF_901212675.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,Parolsenella uli_B
GCF_900128485.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,Duodenibacillus,Duodenibacillus massiliensis
GCF_003437535.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius_A
GCA_902362595.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola merdigallinarum
GCA_900552925.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA1417,UBA1417 sp900552925
GCA_003460745.1,Bacteria,Bacillota_A,Clostridia,UBA1381,UBA1381,CAG-41,CAG-41 sp900066215
GCF_003367905.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Megasphaeraceae,Megasphaera,Megasphaera stantonii
GCA_900545315.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes_A,Alistipes_A sp900545315
GCA_025147325.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris
GCF_013304445.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia sp900541955
GCF_023336895.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_A,Aphodousia,Aphodousia secunda_B
GCA_900550705.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp900550705
GCF_018408575.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas coprocola
GCA_025148785.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Coprobacillaceae,Catenibacterium,Catenibacterium mitsuokai
GCF_900128445.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Thermophilibacter,Thermophilibacter provencensis
GCA_944324075.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Mailhella,Mailhella excrementigallinarum
GCA_025148635.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas virosa
GCA_900539145.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia sp900539145
GCA_000803105.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Coprobacteraceae,Coprobacter,Coprobacter secundus
GCA_902363135.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Choladousia,Choladousia sp902363135
GCF_003477705.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium_B,Lachnoclostridium_B sp900066555
GCA_000613465.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii
GCF_003463065.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Limivivens,Limivivens sp900066135
GCA_020555605.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Pseudoscilispira,Pseudoscilispira sp020555605
GCF_900289145.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Neobittarella,Neobittarella massiliensis
GCA_905214825.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Anaerotignaceae,Anaerotignum,Anaerotignum sp905214825
GCA_905215105.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Heritagella,Heritagella sp905215105
GCA_934351765.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Paralachnospira,Paralachnospira sp934351765
GCA_000435475.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Anaerotardibacter,Anaerotardibacter sp000435475
GCF_000188195.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Succinivibrionaceae,Succinatimonas,Succinatimonas hippei
GCF_000327285.1,Bacteria,Bacillota,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemania,Holdemania massiliensis
GCA_905203285.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Succinivibrionaceae,Succinatimonas,Succinatimonas sp905203285
GCF_024112395.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E pergaminensis
GCA_900543815.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA4372,UBA4372 sp900543815
GCA_000432375.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,CAG-103,CAG-103 sp000432375
GCA_934230115.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp934230115
GCA_900555035.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900555035
GCA_934718155.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides sp934718155
GCA_900549335.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp900549335
GCA_900553705.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp900553705
GCA_900541925.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp900541925
GCA_900542795.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Alloprevotella,Alloprevotella sp900542795
GCA_900544195.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp900544195
GCA_934202965.1,Bacteria,Bacillota_C,Negativicutes,Veillonellales,Megasphaeraceae,Megasphaera,Megasphaera sp934202965
GCA_900767605.1,Bacteria,Bacillota,Bacilli,RFN20,CAG-826,Enteromonas,Enteromonas sp900767605
GCA_900768875.1,Bacteria,Pseudomonadota,Alphaproteobacteria,RF32,CAG-977,UBA2903,UBA2903 sp900768875
GCA_900545245.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp900545245
GCA_900545805.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,F23-B02,F23-B02 sp900545805
GCF_000834015.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella pectinovora
GCA_900552675.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900552675
GCF_002834225.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcus_E,Ruminococcus_E bromii
GCA_900549415.1,Bacteria,Verrucomicrobiota,Lentisphaeria,Victivallales,UBA1829,UBA1829,UBA1829 sp900549415
GCA_900549915.1,Bacteria,Bacillota,Bacilli,RFN20,CAG-288,Enterosoma,Enterosoma sp900549915
GCA_905211615.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp905211615
GCA_900540955.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Paratractidigestivibacter,Paratractidigestivibacter sp900540955
GCA_900548085.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,Eubacterium_R sp900548085
GCA_934271715.1,Bacteria,Pseudomonadota,Alphaproteobacteria,RF32,CAG-239,RUG410,RUG410 sp934271715
GCF_013300825.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A wexlerae_B
GCA_900551435.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,Faecalibacterium sp900551435
GCF_000468015.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_C,Ruminococcus_C callidus
GCA_900552935.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,Parolsenella sp900552935
GCA_934590325.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp934590325
GCA_900549645.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp900549645
GCF_002251295.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002251295
GCF_018918045.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp018918045
GCA_900772845.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Acetatifactor,Acetatifactor sp900772845
GCF_009707925.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A luti
GCA_900539465.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-488,CAG-488 sp900539465
GCA_022009795.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,Eubacterium_R sp000433975
GCF_012843875.1,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio sp900556755
GCA_934271735.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,Borkfalkiaceae,UBA10281,UBA10281 sp934271735
GCA_934426285.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A sp934426285
GCA_000435335.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAG-964,CAG-964 sp000435335
GCA_934589525.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp934589525
GCA_900768545.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,UBA1242,Caccovivens,Caccovivens sp900768545
GCA_934385475.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,UBA3282,UBA3282 sp934385475
GCA_018228685.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp001916855
GCF_003461955.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A sp900066335
GCF_900120195.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A sp900120195
GCA_003483745.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia sp003483745
GCF_900167205.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,Eubacterium_R coprostanoligenes
GCF_000271405.2,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus_B,Enterococcus_B hirae
GCA_900552365.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,UMGS1502,UMGS1502 sp900552365
GCA_900752305.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Onthomonas,Onthomonas sp900752305
GCA_025149915.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
GCA_000433755.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-465,CAG-465,CAG-465 sp000433755
GCA_934728065.1,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_D,Campylobacter_D sp934728065
GCA_934504345.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Butyricicoccaceae,Agathobaculum,Agathobaculum sp934504345
GCA_900761025.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,CAG-272,UMGS902,UMGS902 sp900761025
GCA_003526845.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Eubacterium_R,Eubacterium_R sp003526845
GCA_934378195.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A sp934378195
GCF_900290275.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900290275
GCA_000435755.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-273,CAG-273 sp000435755
GCA_900539455.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-303,CAG-303 sp900539455
GCF_003474435.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A,Blautia_A sp003474435
GCF_009695905.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,VUNA01,VUNA01 sp002299625
GCA_022009975.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides sp900549585
GCF_020559915.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus_D,Ruminococcus_D sp000434695
GCA_900549495.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Faecousia,Faecousia sp900549495
GCA_934281605.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,Lentihominibacter,Lentihominibacter sp934281605
GCF_023921805.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcus_E,Ruminococcus_E sp003526955
GCA_934635515.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp934635515
GCA_900557405.1,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900557405
GCA_900556525.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Ruminiclostridium_E,Ruminiclostridium_E sp900556525
GCA_000434195.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-245,CAG-245 sp000434195
GCA_934351255.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Butyribacter,Butyribacter sp934351255
GCA_900763675.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,UBA738,UBA738 sp900763675
GCA_934394855.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,CAKRRH01,CAKRRH01 sp934394855
GCA_900769705.1,Bacteria,Pseudomonadota,Alphaproteobacteria,RF32,CAG-239,RUG410,RUG410 sp900769705
GCA_000431335.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp000431335
GCA_905193585.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,UBA737,UBA737 sp905193585
GCA_934597465.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter sp934597465
GCA_000434115.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_F,Eubacterium_F sp000434115
GCA_934667105.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,RUG563,RUG563 sp934667105
GCA_900550475.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-510,CAG-510 sp900550475
GCA_900756575.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,HGM13006,HGM13006 sp900756575
GCA_022767925.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Heritagella,Heritagella sp022767925
GCA_934574095.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp934574095
GCA_900553265.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,Faecivicinus,Faecivicinus sp900553265
GCA_934636105.1,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,Ventricola,Ventricola sp934636105
GCA_934597345.1,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Vescimonas,Vescimonas sp934597345
GCA_934271235.1,Bacteria,Bacillota_A,Clostridia,Peptostreptococcales,Anaerovoracaceae,CAG-238,CAG-238 sp934271235
GCF_003464165.1,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,Lachnospira sp003451515
